Date,Debate_Num,House,Debate_ID,Topic,Probability
2022-01-18,8,eerstekamer,2022-01-18-eerstekamer-8,0,0.7843956
2022-01-18,8,eerstekamer,2022-01-18-eerstekamer-8,2,0.015916144
2022-01-18,8,eerstekamer,2022-01-18-eerstekamer-8,4,0.1931821
2022-01-18,6,tweedekamer,2022-01-18-tweedekamer-6,1,0.010777623
2022-01-18,6,tweedekamer,2022-01-18-tweedekamer-6,2,0.8399468
2022-01-18,6,tweedekamer,2022-01-18-tweedekamer-6,3,0.0788072
2022-01-18,6,tweedekamer,2022-01-18-tweedekamer-6,4,0.07043665
2022-01-18,9,tweedekamer,2022-01-18-tweedekamer-9,0,0.057050798
2022-01-18,9,tweedekamer,2022-01-18-tweedekamer-9,1,0.04340513
2022-01-18,9,tweedekamer,2022-01-18-tweedekamer-9,2,0.81356007
2022-01-18,9,tweedekamer,2022-01-18-tweedekamer-9,3,0.08052561
2022-01-19,3,tweedekamer,2022-01-19-tweedekamer-3,0,0.17790458
2022-01-19,3,tweedekamer,2022-01-19-tweedekamer-3,2,0.7863549
2022-01-19,3,tweedekamer,2022-01-19-tweedekamer-3,3,0.028023114
2022-01-19,6,tweedekamer,2022-01-19-tweedekamer-6,0,0.31880826
2022-01-19,6,tweedekamer,2022-01-19-tweedekamer-6,1,0.037034467
2022-01-19,6,tweedekamer,2022-01-19-tweedekamer-6,2,0.5737373
2022-01-19,6,tweedekamer,2022-01-19-tweedekamer-6,3,0.062044945
2022-01-20,5,tweedekamer,2022-01-20-tweedekamer-5,0,0.9647039
2022-01-20,5,tweedekamer,2022-01-20-tweedekamer-5,4,0.02657978
2022-01-20,9,tweedekamer,2022-01-20-tweedekamer-9,2,0.01651973
2022-01-20,9,tweedekamer,2022-01-20-tweedekamer-9,3,0.9761378
2022-01-25,16,tweedekamer,2022-01-25-tweedekamer-16,1,0.16526861
2022-01-25,16,tweedekamer,2022-01-25-tweedekamer-16,4,0.8319567
2022-01-26,3,tweedekamer,2022-01-26-tweedekamer-3,0,0.21162415
2022-01-26,3,tweedekamer,2022-01-26-tweedekamer-3,1,0.17395268
2022-01-26,3,tweedekamer,2022-01-26-tweedekamer-3,3,0.066711985
2022-01-26,3,tweedekamer,2022-01-26-tweedekamer-3,4,0.54745376
2022-01-26,6,tweedekamer,2022-01-26-tweedekamer-6,3,0.9833715
2022-01-27,3,tweedekamer,2022-01-27-tweedekamer-3,0,0.20588157
2022-01-27,3,tweedekamer,2022-01-27-tweedekamer-3,1,0.42038777
2022-01-27,3,tweedekamer,2022-01-27-tweedekamer-3,4,0.36744705
2022-01-27,4,tweedekamer,2022-01-27-tweedekamer-4,1,0.09774735
2022-01-27,4,tweedekamer,2022-01-27-tweedekamer-4,4,0.8987199
2022-01-27,7,tweedekamer,2022-01-27-tweedekamer-7,1,0.11260028
2022-01-27,7,tweedekamer,2022-01-27-tweedekamer-7,4,0.8852519
2022-01-27,8,tweedekamer,2022-01-27-tweedekamer-8,0,0.024832532
2022-01-27,8,tweedekamer,2022-01-27-tweedekamer-8,1,0.6679614
2022-01-27,8,tweedekamer,2022-01-27-tweedekamer-8,2,0.25714764
2022-01-27,8,tweedekamer,2022-01-27-tweedekamer-8,3,0.02722741
2022-01-27,8,tweedekamer,2022-01-27-tweedekamer-8,4,0.02283103
2022-01-27,9,tweedekamer,2022-01-27-tweedekamer-9,3,0.99715525
2022-02-01,5,eerstekamer,2022-02-01-eerstekamer-5,1,0.050284598
2022-02-01,5,eerstekamer,2022-02-01-eerstekamer-5,4,0.9441564
2022-02-01,23,tweedekamer,2022-02-01-tweedekamer-23,3,0.99585706
2022-02-02,12,tweedekamer,2022-02-02-tweedekamer-12,0,0.11362697
2022-02-02,12,tweedekamer,2022-02-02-tweedekamer-12,1,0.025871657
2022-02-02,12,tweedekamer,2022-02-02-tweedekamer-12,3,0.86038333
2022-02-02,13,tweedekamer,2022-02-02-tweedekamer-13,0,0.011939313
2022-02-02,13,tweedekamer,2022-02-02-tweedekamer-13,1,0.040591866
2022-02-02,13,tweedekamer,2022-02-02-tweedekamer-13,2,0.93986917
2022-02-02,3,tweedekamer,2022-02-02-tweedekamer-3,0,0.54364944
2022-02-02,3,tweedekamer,2022-02-02-tweedekamer-3,4,0.45369762
2022-02-02,4,tweedekamer,2022-02-02-tweedekamer-4,0,0.06994547
2022-02-02,4,tweedekamer,2022-02-02-tweedekamer-4,1,0.11253375
2022-02-02,4,tweedekamer,2022-02-02-tweedekamer-4,2,0.16172592
2022-02-02,4,tweedekamer,2022-02-02-tweedekamer-4,3,0.030547734
2022-02-02,4,tweedekamer,2022-02-02-tweedekamer-4,4,0.6252471
2022-02-02,5,tweedekamer,2022-02-02-tweedekamer-5,0,0.07224953
2022-02-02,5,tweedekamer,2022-02-02-tweedekamer-5,1,0.52590245
2022-02-02,5,tweedekamer,2022-02-02-tweedekamer-5,4,0.40161133
2022-02-02,6,tweedekamer,2022-02-02-tweedekamer-6,3,0.9995514
2022-02-03,10,tweedekamer,2022-02-03-tweedekamer-10,0,0.5321111
