Date,Debate_Num,House,Debate_ID,Speaker_role,Speaker_MP,Speaker_minister,Speaker_party,Speaker_party_name,Speaker_ID,Speaker_name,Party_status,Party_orientation,size
2022-01-18,8,eerstekamer,2022-01-18-eerstekamer-8,Chairperson,MP,notMinister,VVD,Volkspartij voor Vrijheid en Democratie,JanAnthonieBruijn,"Bruijn, Jan Anthonie",Coalition,Centre-right,89
2022-01-18,8,eerstekamer,2022-01-18-eerstekamer-8,Guest,MP,notMinister,FvD,Forum voor Democratie,PaulFrentrop,"Frentrop, Paul",Opposition,Far-right,9
2022-01-18,8,eerstekamer,2022-01-18-eerstekamer-8,Guest,notMP,notMinister,CDA,Christen-Democratisch Appèl,JoopAtsma,"Atsma, Joop",Coalition,Centre to centre-right,13
2022-01-18,8,eerstekamer,2022-01-18-eerstekamer-8,Guest,notMP,notMinister,D66,Democraten 66,GunayUslu,"Uslu, Gunay",Coalition,Centre,50
2022-01-18,8,eerstekamer,2022-01-18-eerstekamer-8,Guest,notMP,notMinister,D66,Democraten 66,HenkPijlman,"Pijlman, Henk",Coalition,Centre,8
2022-01-18,8,eerstekamer,2022-01-18-eerstekamer-8,Guest,notMP,notMinister,D66,Democraten 66,HenriëttePrast,"Prast, Henriëtte",Coalition,Centre,17
2022-01-18,8,eerstekamer,2022-01-18-eerstekamer-8,Guest,notMP,notMinister,FvD,Forum voor Democratie,HenkOtten,"Otten, Henk",Opposition,Far-right,30
2022-01-18,8,eerstekamer,2022-01-18-eerstekamer-8,Guest,notMP,notMinister,GL,GroenLinks,GalaVeldhoen,"Veldhoen, Gala",Opposition,Centre-left to left,7
2022-01-18,8,eerstekamer,2022-01-18-eerstekamer-8,Guest,notMP,notMinister,PVV,Partij voor de Vrijheid,TonvanKesteren,"van Kesteren, Ton",Opposition,Right to far-right,10
2022-01-18,8,eerstekamer,2022-01-18-eerstekamer-8,Guest,notMP,notMinister,PvdA,Partij van de Arbeid,MaryFiers,"Fiers, Mary",Opposition,Centre-left,11
2022-01-18,8,eerstekamer,2022-01-18-eerstekamer-8,Guest,notMP,notMinister,SGP,Staatkundig Gereformeerde Partij,PeterSchalk,"Schalk, Peter",Opposition,Right,18
2022-01-18,8,eerstekamer,2022-01-18-eerstekamer-8,Guest,notMP,notMinister,SP,Socialistische Partij,RikJanssen,"Janssen, Rik",Opposition,Left,10
2022-01-18,8,eerstekamer,2022-01-18-eerstekamer-8,Guest,notMP,notMinister,VVD,Volkspartij voor Vrijheid en Democratie,TanjaKlip-Martin,"Klip-Martin, Tanja",Coalition,Centre-right,3
2022-01-18,8,eerstekamer,2022-01-18-eerstekamer-8,Guest,notMP,notMinister,vanPareren,Fractie van Pareren,AnnabelNanninga,"Nanninga, Annabel",-,Right to far-right,1
2022-01-18,6,tweedekamer,2022-01-18-tweedekamer-6,Chairperson,MP,notMinister,D66,Democraten 66,VeraBergkamp,"Bergkamp, Vera",Coalition,Centre,50
2022-01-18,6,tweedekamer,2022-01-18-tweedekamer-6,Regular,MP,notMinister,PvdA,Partij van de Arbeid,LiliannePloumen,"Ploumen, Lilianne",Opposition,Centre-left,2
2022-01-18,6,tweedekamer,2022-01-18-tweedekamer-6,Regular,MP,notMinister,PvdD,Partij voor de Dieren,EstherOuwehand,"Ouwehand, Esther",Opposition,Left,1
2022-01-18,6,tweedekamer,2022-01-18-tweedekamer-6,Regular,notMP,notMinister,50PLUS;Den Haan,50PLUS;Fractie Den Haan,LianedenHaan,"den Haan, Liane",Opposition,Centre,1
2022-01-18,6,tweedekamer,2022-01-18-tweedekamer-6,Regular,notMP,notMinister,BBB,Boeren Burger Beweging,CarolinevanderPlas,"van der Plas, Caroline",Opposition,Centre-right,1
2022-01-18,6,tweedekamer,2022-01-18-tweedekamer-6,Regular,notMP,notMinister,BIJ1,BIJ1,SylvanaSimons,"Simons, Sylvana",Opposition,Left to far-left,2
2022-01-18,6,tweedekamer,2022-01-18-tweedekamer-6,Regular,notMP,notMinister,CDA,Christen-Democratisch Appèl,PieterHeerma,"Heerma, Pieter",Coalition,Centre to centre-right,6
2022-01-18,6,tweedekamer,2022-01-18-tweedekamer-6,Regular,notMP,notMinister,CU,ChristenUnie,Gert-JanSegers,"Segers, Gert-Jan",Coalition,Centre-right,5
2022-01-18,6,tweedekamer,2022-01-18-tweedekamer-6,Regular,notMP,notMinister,D66,Democraten 66,JanPaternotte,"Paternotte, Jan",Coalition,Centre,5
2022-01-18,6,tweedekamer,2022-01-18-tweedekamer-6,Regular,notMP,notMinister,DENK,DENK,FaridAzarkan,"Azarkan, Farid",Opposition,Centre-left,6
2022-01-18,6,tweedekamer,2022-01-18-tweedekamer-6,Regular,notMP,notMinister,GL,GroenLinks,JesseKlaver,"Klaver, Jesse",Opposition,Centre-left to left,12
2022-01-18,6,tweedekamer,2022-01-18-tweedekamer-6,Regular,notMP,notMinister,JA21,Juiste Antwoord 2021,JoostEerdmans,"Eerdmans, Joost",Opposition,Right to far-right,4
2022-01-18,6,tweedekamer,2022-01-18-tweedekamer-6,Regular,notMP,notMinister,Omtzigt,Fractie Omtzigt,PieterOmtzigt,"Omtzigt, Pieter",Opposition,Right,2
2022-01-18,6,tweedekamer,2022-01-18-tweedekamer-6,Regular,notMP,notMinister,PVV,Partij voor de Vrijheid,GeertWilders,"Wilders, Geert",Opposition,Right to far-right,63
2022-01-18,6,tweedekamer,2022-01-18-tweedekamer-6,Regular,notMP,notMinister,SP,Socialistische Partij,LilianMarijnissen,"Marijnissen, Lilian",Opposition,Left,1
2022-01-18,6,tweedekamer,2022-01-18-tweedekamer-6,Regular,notMP,notMinister,VOLT,VOLT,LaurensDassen,"Dassen, Laurens",Opposition,Centre,2
