ID,date,chamber,debate_num,summary
ParlaMint-NL-en_2022-01-18-eerstekamer-8,2022-01-18,eerstekamer,8,"the supplementary budget for the acquisition of artwork has failed. the cultural sector is fighting for its survival and manyzzp'ers in that sector live below the poverty line. this is also important for non-culture miners, but also for the sector as an employer."
ParlaMint-NL-en_2022-01-18-tweedekamer-6,2022-01-18,tweedekamer,6,"'they've taken a Muslim terrorist into their midst,' he says. ""they"" love to see me disappear under the carpet,"" he says. he says he's a member of an organization that wanted to kill me. he says he's a member of an organization that tried to kill me."
ParlaMint-NL-en_2022-01-18-tweedekamer-9,2022-01-18,tweedekamer,9,"a number of colleagues have made it clear that the kick-off of this debate may be a different kick-off than we had imagined. a number of colleagues have made it clear that the debate may be a different kick-off than we had imagined. a number of colleagues, including Mr. Heerma, have made a suggestion."
ParlaMint-NL-en_2022-01-19-tweedekamer-3,2022-01-19,tweedekamer,3,"the cabinet is the first to speak, he says. he says it's good to start with the situation in the world. the cabinet is concerned about the slowness of decision-making in Europe."
ParlaMint-NL-en_2022-01-19-tweedekamer-6,2022-01-19,tweedekamer,6,"Rutte, Mark (VVD) says he is waiting for the answer he promised him. he says he will give it in between, but there are still a few things that need to be clarified. he says we are going through what has been provided as a temporary path for filling funds for nitrogen and climate."
ParlaMint-NL-en_2022-01-20-tweedekamer-5,2022-01-20,tweedekamer,5,"''If we do nuclear energy, we're gonna do gas,'' he says. ''if we do nuclear energy, we're gonna do gas,' he says. ''it's air for financial investments,' he says."
ParlaMint-NL-en_2022-01-20-tweedekamer-9,2022-01-20,tweedekamer,9,"Judith Bergkamp, Judith (VVD): ""this is my first corona debate. i'm gonna try to name part of that in these next four minutes"" she says the cabinet is ready with protocols and a lot of good will to open up again. she asks the minister what he's doing to get that insight from the authorities. despite the fact that the virus exists everywhere, it is handled very differently."
ParlaMint-NL-en_2022-01-25-tweedekamer-16,2022-01-25,tweedekamer,16,"a second reading of the amendment of the Constitution is aimed at introducing a provision on an electoral college elected by non-residents for the election of the First Chamber of the States General. a number of speakers have signed up, including the minister of the interior and Kingdom Relations. the amendment is aimed at introducing a provision on an electoral college elected by non-residents."
ParlaMint-NL-en_2022-01-26-tweedekamer-3,2022-01-26,tweedekamer,3,"legislation with far-reaching consequences for Dutch people would be dismissed as a hammer piece. it's striking, because it concerns legislation with far-reaching consequences for Dutch people. the government's controlling role is not only to control the government, but also to protect citizens."
ParlaMint-NL-en_2022-01-26-tweedekamer-6,2022-01-26,tweedekamer,6,"an interruption is a short question or comment, not a long introduction, as this can be done in the first and second term. if you really think that's going too far, I'm asking you to turn it into five interruptions. the cabinet called that ""jojoen,"" I believe, but it's brave to make its own weighting."
ParlaMint-NL-en_2022-01-27-tweedekamer-3,2022-01-27,tweedekamer,3,a motion of mine was unanimously adopted by this chamber in 2019. it calls for the education inspectorate to make more unannounced visits in basic education. the motion calls for the education inspectorate to be instructed to always work on individual reports.
ParlaMint-NL-en_2022-01-27-tweedekamer-4,2022-01-27,tweedekamer,4,"new minister for education, culture and science welcomes him. he is responsible for portfolios of higher education, science policy, teacher policy, DUO and the Inspectorate of Education. he is responsible not only for the portfolios of higher education, science policy, teacher policy, DUO and the Inspectorate of Education."
ParlaMint-NL-en_2022-01-27-tweedekamer-7,2022-01-27,tweedekamer,7,"dijkgraaf, vera (D66) says he's proud that we in the Netherlands can be proud of how we organized education. he says that we need people who can help solve them, with smart ideas and skills that are also future-proof. he says if we cannot make the Netherlands sustainable, we cannot guarantee health care for the future."
ParlaMint-NL-en_2022-01-27-tweedekamer-8,2022-01-27,tweedekamer,8,"this is the fourth citizens' initiative that the Chamber is considering in plenary. the present citizens' initiative calls for action to address the unclear costs of capital insurance. in the Netherlands, many millions of capital insurances have been taken out, of which the 7 million faulty usury policies are best known."
ParlaMint-NL-en_2022-01-27-tweedekamer-9,2022-01-27,tweedekamer,9,"a law on women's autonomy and freedom of choice is a step by which we abolish the obligation of five days of reflection. this is a step by which we take women seriously from the very first moment in their consideration of breaking down a pregnancy. every year around 30,000 abortions are carried out in the Netherlands and our abortion law dates back to 1984."
ParlaMint-NL-en_2022-02-01-eerstekamer-5,2022-02-01,eerstekamer,5,"a statement by Leonardo da Vinci reflects the core of the opinion of the Education Council. the opinion of the Education Council ""select later, better differentiate"" was obtained at the request of the previous cabinet. the ESC also issued a similar opinion: Equal opportunities in education."
ParlaMint-NL-en_2022-02-01-tweedekamer-23,2022-02-01,tweedekamer,23,"there is a second thing missing from the coalition agreement. there is no chapter on corona policy, there is also no paragraph on the long-term corona policy. a number of motions have been passed on this and I wonder what happened to it."
ParlaMint-NL-en_2022-02-02-tweedekamer-12,2022-02-02,tweedekamer,12,"the next item is the continuation of the debate on the proposal for a law of Mr Paternotte, Mr Kuiken, Mr Ellemeet and Mr Tellegen. we ended up on the second term on the side of the chamber, so I give the floor to Mrs Paulusma of D66. it is also important that it concerns the autonomy and freedom of choice of women."
ParlaMint-NL-en_2022-02-02-tweedekamer-13,2022-02-02,tweedekamer,13,"the next item is the debate on the ruling of the Supreme Court of 24 December 2021 on box 3. de Jong, Romke (D66) calls him a ""fresh start"" for both of us. he says he is looking for a solution right away."
ParlaMint-NL-en_2022-02-02-tweedekamer-3,2022-02-02,tweedekamer,3,"the two-minute debate took place on 24 November last year. the first speaker is Mr Van der Molen, on behalf of the CDA Group. a lighthouse that is still on the brink of collapse might be saved at the next moment."
ParlaMint-NL-en_2022-02-02-tweedekamer-4,2022-02-02,tweedekamer,4,a policy vision on information-driven action has been announced. a policy vision on information-driven action has been announced. a policy vision on information-driven action has been announced. a policy vision on information-driven action has been announced.
ParlaMint-NL-en_2022-02-02-tweedekamer-5,2022-02-02,tweedekamer,5,"the secretary of state writes that access is exactly what EU law and human rights want. it seems to me that the Netherlands really wants to give those guarantees, because this is exactly what we have committed ourselves to. the next motion is a motion by the secretary of state on the issue of migration."
ParlaMint-NL-en_2022-02-02-tweedekamer-6,2022-02-02,tweedekamer,6,"the next item is the continuation of the debate on the proposal for a law of members Paternotte, Kuiken, Ellemeet and Tellegen. the proposal is a continuation of the debate on the proposal for a law on termination of pregnancy in connection with the abolition of the mandatory minimum period of reflection for the termination of pregnancy, Section 35737."
