ID,date,chamber,debate_num,crime,technologies,security,defence,geopolitics,energy,climate
ParlaMint-NL-en_2022-01-18-eerstekamer-8,2022-01-18,eerstekamer,8,0.14440681040287018,0.14416120946407318,0.14282703399658203,0.14264334738254547,0.14226274192333221,0.1419760286808014,0.14172285795211792
ParlaMint-NL-en_2022-01-18-tweedekamer-6,2022-01-18,tweedekamer,6,0.14834553003311157,0.13928736746311188,0.14599323272705078,0.14207421243190765,0.13680891692638397,0.14032171666622162,0.1471690535545349
ParlaMint-NL-en_2022-01-18-tweedekamer-9,2022-01-18,tweedekamer,9,0.1436775177717209,0.14082233607769012,0.14751951396465302,0.14349056780338287,0.14150243997573853,0.1428939700126648,0.1400936394929886
ParlaMint-NL-en_2022-01-19-tweedekamer-3,2022-01-19,tweedekamer,3,0.15472804009914398,0.1426507979631424,0.14320744574069977,0.14228887856006622,0.1413969248533249,0.13577312231063843,0.1399548202753067
ParlaMint-NL-en_2022-01-19-tweedekamer-6,2022-01-19,tweedekamer,6,0.1447146087884903,0.14025455713272095,0.142792746424675,0.14544536173343658,0.14368052780628204,0.13892248272895813,0.1441897302865982
ParlaMint-NL-en_2022-01-20-tweedekamer-5,2022-01-20,tweedekamer,5,0.14285574853420258,0.14018471539020538,0.14272911846637726,0.14419588446617126,0.14326085150241852,0.14378906786441803,0.14298468828201294
ParlaMint-NL-en_2022-01-20-tweedekamer-9,2022-01-20,tweedekamer,9,0.1435767263174057,0.1426198035478592,0.13983619213104248,0.1433139145374298,0.1433352679014206,0.14511626958847046,0.14220178127288818
ParlaMint-NL-en_2022-01-25-tweedekamer-16,2022-01-25,tweedekamer,16,0.14781783521175385,0.14139866828918457,0.1438751220703125,0.14301073551177979,0.1376868188381195,0.1427730768918991,0.14343778789043427
ParlaMint-NL-en_2022-01-26-tweedekamer-3,2022-01-26,tweedekamer,3,0.14242802560329437,0.14030078053474426,0.14148163795471191,0.14428797364234924,0.14846156537532806,0.14149907231330872,0.1415410339832306
ParlaMint-NL-en_2022-01-26-tweedekamer-6,2022-01-26,tweedekamer,6,0.14138592779636383,0.1544930636882782,0.13423115015029907,0.1384628564119339,0.13797388970851898,0.15110865235328674,0.14234444499015808
ParlaMint-NL-en_2022-01-27-tweedekamer-3,2022-01-27,tweedekamer,3,0.14193330705165863,0.14174096286296844,0.14169061183929443,0.1427680104970932,0.1471301168203354,0.14218273758888245,0.14255420863628387
ParlaMint-NL-en_2022-01-27-tweedekamer-4,2022-01-27,tweedekamer,4,0.14347922801971436,0.1455097794532776,0.14365535974502563,0.1423327773809433,0.13598905503749847,0.14342352747917175,0.1456102430820465
ParlaMint-NL-en_2022-01-27-tweedekamer-7,2022-01-27,tweedekamer,7,0.14404596388339996,0.14023357629776,0.14202557504177094,0.13984118402004242,0.1490076631307602,0.1415027529001236,0.14334328472614288
ParlaMint-NL-en_2022-01-27-tweedekamer-8,2022-01-27,tweedekamer,8,0.14536932110786438,0.14207249879837036,0.1433262676000595,0.14324341714382172,0.14347299933433533,0.13930968940258026,0.14320583641529083
ParlaMint-NL-en_2022-01-27-tweedekamer-9,2022-01-27,tweedekamer,9,0.14297758042812347,0.14137719571590424,0.14242079854011536,0.14316846430301666,0.14156652987003326,0.14441914856433868,0.1440703123807907
ParlaMint-NL-en_2022-02-01-eerstekamer-5,2022-02-01,eerstekamer,5,0.14401906728744507,0.14395847916603088,0.1422356814146042,0.1379109025001526,0.14682802557945251,0.144211545586586,0.14083640277385712
ParlaMint-NL-en_2022-02-01-tweedekamer-23,2022-02-01,tweedekamer,23,0.14569354057312012,0.14346826076507568,0.14208775758743286,0.14318585395812988,0.14409352838993073,0.1421860009431839,0.13928502798080444
ParlaMint-NL-en_2022-02-02-tweedekamer-12,2022-02-02,tweedekamer,12,0.14549773931503296,0.1429913341999054,0.14413830637931824,0.14489735662937164,0.13756830990314484,0.14267298579216003,0.1422339230775833
ParlaMint-NL-en_2022-02-02-tweedekamer-13,2022-02-02,tweedekamer,13,0.1436537802219391,0.1419409066438675,0.14232976734638214,0.14221221208572388,0.14435207843780518,0.1422223001718521,0.1432889699935913
ParlaMint-NL-en_2022-02-02-tweedekamer-3,2022-02-02,tweedekamer,3,0.14831003546714783,0.14181731641292572,0.14217934012413025,0.14101460576057434,0.14086700975894928,0.1453140676021576,0.14049769937992096
